Date,Open,High,Low,Close,Adj Close,Volume
2021-11-16,1.180498,1.183029,1.125708,1.129050,1.129050,599
2021-11-17,1.129024,1.142898,0.919833,0.920972,0.920972,1637
2021-11-18,0.921201,1.035019,0.920713,0.989786,0.989786,2588
2021-11-19,0.990086,1.023359,0.982036,1.001739,1.001739,309
2021-11-20,1.002005,1.032239,0.985401,1.015596,1.015596,177
2021-11-21,1.014741,1.022255,0.994314,1.009479,1.009479,192
2021-11-22,1.009658,1.010448,0.966185,0.971429,0.971429,162
2021-11-23,0.971574,0.993164,0.971574,0.974268,0.974268,193
2021-11-24,0.974123,0.976570,0.959680,0.967538,0.967538,147
2021-11-25,0.965954,1.000391,0.956971,0.990273,0.990273,27
2021-11-26,0.992779,1.007268,0.925095,0.947342,0.947342,351
2021-11-27,0.947041,0.962386,0.947041,0.951469,0.951469,276
2021-11-28,0.951435,0.955684,0.924872,0.949572,0.949572,110
2021-11-29,0.949300,0.949324,0.914373,0.942069,0.942069,377
2021-11-30,0.942165,0.959890,0.918424,0.933001,0.933001,335
2021-12-01,0.932071,0.955460,0.815936,0.819656,0.819656,1956
2021-12-02,0.819587,0.821695,0.811112,0.817717,0.817717,1930
2021-12-03,0.817044,0.817044,0.765860,0.768172,0.768172,337
2021-12-04,0.768167,0.768978,0.726837,0.758433,0.758433,384
2021-12-05,0.758557,0.837832,0.745652,0.836102,0.836102,1075
2021-12-06,0.836549,0.840194,0.795427,0.798208,0.798208,1465
2021-12-07,0.798502,0.814677,0.793857,0.807087,0.807087,472
2021-12-08,0.807597,0.832977,0.790682,0.816965,0.816965,86
2021-12-09,0.816355,0.833715,0.798347,0.800993,0.800993,179
2021-12-10,0.800277,0.804801,0.786966,0.788937,0.788937,224
2021-12-11,0.788517,0.797983,0.777928,0.780250,0.780250,196
2021-12-12,0.780691,0.824642,0.777295,0.824642,0.824642,330
2021-12-13,0.823928,0.829807,0.801569,0.804570,0.804570,391
2021-12-14,0.804914,0.810585,0.794907,0.807721,0.807721,155
2021-12-15,0.807354,0.822923,0.763073,0.813506,0.813506,24
2021-12-16,0.813808,0.819772,0.799126,0.799448,0.799448,32
2021-12-17,0.799367,0.808187,0.791334,0.800940,0.800940,32
2021-12-18,0.800566,0.800566,0.705903,0.712456,0.712456,897
2021-12-19,0.712399,0.725115,0.710327,0.724464,0.724464,957
2021-12-20,0.724861,0.726171,0.717032,0.722643,0.722643,94
2021-12-21,0.722759,0.725739,0.716135,0.723917,0.723917,14
2021-12-22,0.724014,0.732085,0.719536,0.723776,0.723776,13
2021-12-23,0.723851,0.729243,0.714828,0.719961,0.719961,57
2021-12-24,0.720059,0.720059,0.712655,0.714369,0.714369,58
2021-12-25,0.714160,0.723017,0.714160,0.721902,0.721902,56
2021-12-26,0.722003,0.728298,0.720111,0.728253,0.728253,71
2021-12-27,0.727906,0.732649,0.662558,0.663141,0.663141,711
2021-12-28,0.662606,0.665227,0.658138,0.661199,0.661199,764
2021-12-29,0.660839,0.662368,0.641556,0.641895,0.641895,82
2021-12-30,0.642217,0.657088,0.625696,0.649589,0.649589,39
2021-12-31,0.649115,0.661673,0.643843,0.654360,0.654360,66
2022-01-01,0.654389,0.666257,0.652087,0.665794,0.665794,33
2022-01-02,0.665792,0.693972,0.657248,0.693972,0.693972,159
2022-01-03,0.693980,0.695326,0.682328,0.683151,0.683151,173
2022-01-04,0.683158,0.735806,0.669115,0.727023,0.727023,621
2022-01-05,0.727044,0.731978,0.716340,0.720698,0.720698,598
2022-01-06,0.720670,0.738386,0.654084,0.718610,0.718610,80
2022-01-07,0.718568,0.729332,0.675128,0.693809,0.693809,93
2022-01-08,0.693817,0.704563,0.673620,0.698031,0.698031,123
2022-01-09,0.698021,0.715922,0.688539,0.704645,0.704645,33
2022-01-10,0.704645,0.718086,0.704629,0.710867,0.710867,70
2022-01-11,0.710857,0.864052,0.708580,0.845473,0.845473,1279
2022-01-12,0.845487,0.863747,0.843313,0.862339,0.862339,1313
2022-01-13,0.862348,0.880901,0.852851,0.861105,0.861105,197
2022-01-14,0.861127,0.894025,0.852826,0.890388,0.890388,9
2022-01-15,0.890388,0.890388,0.879748,0.884936,0.884936,88
2022-01-16,0.884945,0.893592,0.870847,0.870847,0.870847,200
2022-01-17,0.870883,0.870883,0.842351,0.845571,0.845571,113
2022-01-18,0.845579,0.848160,0.843453,0.846437,0.846437,10
2022-01-19,0.846416,0.848216,0.835299,0.840034,0.840034,19
